"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Product Category","Status"
"camisa-basica-roxa-streetwear","","","","","","","","Tamanho","G","","","27282838282-G","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-verde-streetwear","Camisa Básica Verde Streetwear","<h2>Camisa Básica Verde Streetwear</h2>
<p>Peça streetwear camisa básica verde streetwear, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Verde, Masculino","TRUE","Tamanho","PP","","","283828282-PP","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Camisa Básica Verde Streetwear","FALSE","Camisa Básica Verde Streetwear | Deroche Mantos","Compre Camisa Básica Verde Streetwear na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-basica-verde-streetwear","","","","","","","","Tamanho","P","","","283828282-P","220","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-verde-streetwear","","","","","","","","Tamanho","M","","","283828282-M","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-verde-streetwear","","","","","","","","Tamanho","G","","","283828282-G","220","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-vermelha-streetwear","Camisa Básica Vermelha Streetwear","<h2>Camisa Básica Vermelha Streetwear</h2>
<p>Peça streetwear camisa básica vermelha streetwear, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Vermelha, Masculino","TRUE","Tamanho","PP","","","2828482-PP","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Camisa Básica Vermelha Streetwear","FALSE","Camisa Básica Vermelha Streetwear | Deroche Mantos","Compre Camisa Básica Vermelha Streetwear na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-basica-vermelha-streetwear","","","","","","","","Tamanho","P","","","2828482-P","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-vermelha-streetwear","","","","","","","","Tamanho","M","","","2828482-M","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-vermelha-streetwear","","","","","","","","Tamanho","G","","","2828482-G","220","shopify","3","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-vermelha-streetwear","","","","","","","","Tamanho","GG","","","2828482-GG","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-basica-vermelha-streetwear","","","","","","","","Tamanho","XGG","","","2828482-XGG","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-azul","Camisa Gola Polo Azul","<h2>Camisa Gola Polo Azul</h2>
<p>Peça streetwear camisa gola polo azul, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Azul, Masculino","TRUE","Tamanho","P","","","1818282-P","220","shopify","2","deny","manual","149.90","","TRUE","TRUE","","1","Camisa Gola Polo Azul","FALSE","Camisa Gola Polo Azul | Deroche Mantos","Compre Camisa Gola Polo Azul na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-gola-polo-azul","","","","","","","","Tamanho","M","","","1818282-M","220","shopify","2","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-azul","","","","","","","","Tamanho","G","","","1818282-G","220","shopify","1","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-azul","","","","","","","","Tamanho","GG","","","1818282-GG","220","shopify","1","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-branca","Camisa Gola Polo Branca","<h2>Camisa Gola Polo Branca</h2>
<p>Peça streetwear camisa gola polo branca, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Branca, Masculino","TRUE","Tamanho","P","","","19191919-P","220","shopify","2","deny","manual","149.90","","TRUE","TRUE","","1","Camisa Gola Polo Branca","FALSE","Camisa Gola Polo Branca | Deroche Mantos","Compre Camisa Gola Polo Branca na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-gola-polo-branca","","","","","","","","Tamanho","G","","","19191919-G","220","shopify","2","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-preta","Camisa Gola Polo Preta","<h2>Camisa Gola Polo Preta</h2>
<p>Peça streetwear camisa gola polo preta, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Preta, Masculino","TRUE","Tamanho","P","","","182828183-P","220","shopify","2","deny","manual","149.90","","TRUE","TRUE","","1","Camisa Gola Polo Preta","FALSE","Camisa Gola Polo Preta | Deroche Mantos","Compre Camisa Gola Polo Preta na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-gola-polo-preta","","","","","","","","Tamanho","M","","","182828183-M","220","shopify","3","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-preta","","","","","","","","Tamanho","G","","","182828183-G","220","shopify","3","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-gola-polo-preta","","","","","","","","Tamanho","GG","","","182828183-GG","220","shopify","1","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"camisa-high-tee-cookie-white","Camisa High Tee Cookie White","<h2>Camisa High Tee Cookie White</h2>
<p>Peça streetwear camisa high tee cookie white, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Masculino","TRUE","Tamanho","P","","","1828283827271111-P","220","shopify","1","deny","manual","199.90","","TRUE","TRUE","","1","Camisa High Tee Cookie White","FALSE","Camisa High Tee Cookie White | Deroche Mantos","Compre Camisa High Tee Cookie White na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-high-tee-warped-black","Camisa High Tee Warped Black","<h2>Camisa High Tee Warped Black</h2>
<p>Peça streetwear camisa high tee warped black, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Masculino","TRUE","Tamanho","P","","","28282828128-P","220","shopify","1","deny","manual","179.90","","TRUE","TRUE","","1","Camisa High Tee Warped Black","FALSE","Camisa High Tee Warped Black | Deroche Mantos","Compre Camisa High Tee Warped Black na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"camisa-high-tee-warped-black","","","","","","","","Tamanho","G","","","28282828128-G","220","shopify","2","deny","manual","179.90","","TRUE","TRUE","","","","","","","",""
"caneleira-de-compressao","Caneleira de Compressão","<h2>Caneleira de Compressão</h2>
<p>Caneleira de Compressão, acessório de treino para melhorar performance e proteção durante os exercícios.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Ajuste confortável</li>
<li>Ideal para treinos</li>
<li>Proteção articular</li>
</ul>","Deroche","Esportes e ar livre > Equipamentos esportivos > Equipamentos de fitness","Academia","Academia, Masculino","TRUE","Title","Default Title","","","182828181","100","shopify","1","deny","manual","69.90","","TRUE","TRUE","","1","Caneleira de Compressão","FALSE","Caneleira de Compressão | Deroche Mantos","Compre Caneleira de Compressão na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Equipamentos de fitness","active"
"canivete","Canivete","<h2>Canivete</h2>
<p>Canivete, produto de qualidade Deroche Mantos, pronto para uso diário.</p>
<h3>Diferenciais</h3>
<ul>
<li>Alta qualidade</li>
<li>Bom custo-benefício</li>
<li>Pronta entrega</li>
</ul>","Deroche","Vestuário e acessórios > Acessórios de vestuário","Acessórios","Acessórios, Masculino","TRUE","Title","Default Title","","","2818181","150","shopify","4","deny","manual","57.86","","TRUE","TRUE","","1","Canivete","FALSE","Canivete | Deroche Mantos","Compre Canivete na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Acessórios de vestuário","active"
"ceara-preta-branca-i-23-24","Ceará Preta/Branca I 23/24","<h2>Ceará Preta/Branca I 23/24</h2>
<p>Camisa inspirada no uniforme do Ceará. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Ceará, Camisa Ceará, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","M","","","18383818392-M","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","1","Ceará Preta/Branca I 23/24","FALSE","Ceará Preta/Branca I 23/24 | Deroche Mantos","Compre Ceará Preta/Branca I 23/24 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"chinelo-slide-off-white","Chinelo Slide Off White","<h2>Chinelo Slide Off White</h2>
<p>Chinelo Slide Off White, conforto e estilo para o dia a dia, com solado resistente e acabamento premium.</p>
<h3>Diferenciais</h3>
<ul>
<li>Solado resistente</li>
<li>Conforto no uso diário</li>
<li>Acabamento premium</li>
<li>Design atual</li>
</ul>","Deroche","Vestuário e acessórios > Calçados","Calçados","Calçados, Off White, Masculino","TRUE","Tamanho","39","","","19291918181-39","900","shopify","5","deny","manual","129.90","","TRUE","TRUE","","1","Chinelo Slide Off White","FALSE","Chinelo Slide Off White | Deroche Mantos","Compre Chinelo Slide Off White na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Calçados","active"
"chinelo-slide-off-white","","","","","","","","Tamanho","43","","","19291918181-43","900","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"chinelo-slide-off-white","","","","","","","","Tamanho","45","","","19291918181-45","900","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"chinelo-slide-preto","Chinelo Slide Preto","<h2>Chinelo Slide Preto</h2>
<p>Chinelo Slide Preto, conforto e estilo para o dia a dia, com solado resistente e acabamento premium.</p>
<h3>Diferenciais</h3>
<ul>
<li>Solado resistente</li>
<li>Conforto no uso diário</li>
<li>Acabamento premium</li>
<li>Design atual</li>
</ul>","Deroche","Vestuário e acessórios > Calçados","Calçados","Calçados, Preto, Masculino","TRUE","Tamanho","35","","","182828182-35","900","shopify","2","deny","manual","129.90","","TRUE","TRUE","","1","Chinelo Slide Preto","FALSE","Chinelo Slide Preto | Deroche Mantos","Compre Chinelo Slide Preto na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Calçados","active"
"chinelo-slide-preto","","","","","","","","Tamanho","37","","","182828182-37","900","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"chinelo-slide-preto","","","","","","","","Tamanho","41","","","182828182-41","900","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"chinelo-slide-preto","","","","","","","","Tamanho","45","","","182828182-45","900","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"copo-termico-para-long-neck","Copo Térmico para Long Neck","<h2>Copo Térmico para Long Neck</h2>
<p>Copo Térmico para Long Neck, produto eletrônico com boa autonomia e acabamento resistente para uso diário.</p>
<h3>Diferenciais</h3>
<ul>
<li>Boa autonomia</li>
<li>Acabamento resistente</li>
<li>Fácil de usar</li>
<li>Ótimo custo-benefício</li>
</ul>","Deroche","Eletrônicos","Eletrônicos","Eletrônicos, Masculino","TRUE","Title","Default Title","","","182818381","300","shopify","8","deny","manual","49.90","","TRUE","TRUE","","1","Copo Térmico para Long Neck","FALSE","Copo Térmico para Long Neck | Deroche Mantos","Compre Copo Térmico para Long Neck na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Eletrônicos","active"
"corinthians-branca-2025","Corinthians Branca 2025","<h2>Corinthians Branca 2025</h2>
<p>Camisa inspirada no uniforme do Corinthians temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Corinthians, Camisa Corinthians, 2025, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","3XGG","","","1929292919119-3XGG","200","shopify","7","deny","manual","149.90","","TRUE","TRUE","","1","Corinthians Branca 2025","FALSE","Corinthians Branca 2025 | Deroche Mantos","Compre Corinthians Branca 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"corinthians-branca-2025","","","","","","","","Tamanho","4XGG","","","1929292919119-4XGG","200","shopify","8","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
"corinthians-preta-2025","Corinthians Preta 2025","<h2>Corinthians Preta 2025</h2>
<p>Camisa inspirada no uniforme do Corinthians temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Corinthians, Camisa Corinthians, 2025, Camisas Futebol, Preta, Masculino, Futebol, Brasileirão","TRUE","Tamanho","4XGG","","","19192819191-4XGG","200","shopify","4","deny","manual","149.90","","TRUE","TRUE","","1","Corinthians Preta 2025","FALSE","Corinthians Preta 2025 | Deroche Mantos","Compre Corinthians Preta 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"corinthians-preta-e-laranja","Corinthians Preta e Laranja","<h2>Corinthians Preta e Laranja</h2>
<p>Camisa inspirada no uniforme do Corinthians. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Corinthians, Camisa Corinthians, Camisas Futebol, Preta, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","2828281811818-P","200","shopify","4","deny","manual","160.00","","TRUE","TRUE","","1","Corinthians Preta e Laranja","FALSE","Corinthians Preta e Laranja | Deroche Mantos","Compre Corinthians Preta e Laranja na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"corinthians-preta-e-laranja","","","","","","","","Tamanho","M","","","2828281811818-M","200","shopify","8","deny","manual","160.00","","TRUE","TRUE","","","","","","","",""
"corinthians-preta-e-laranja","","","","","","","","Tamanho","G","","","2828281811818-G","200","shopify","5","deny","manual","160.00","","TRUE","TRUE","","","","","","","",""
"cotoveleira","Cotoveleira","<h2>Cotoveleira</h2>
<p>Cotoveleira, acessório de treino para melhorar performance e proteção durante os exercícios.</p>
<h3>Diferenciais</h3>
<ul>
<li>Material resistente</li>
<li>Ajuste confortável</li>
<li>Ideal para treinos</li>
<li>Proteção articular</li>
</ul>","Deroche","Esportes e ar livre > Equipamentos esportivos > Equipamentos de fitness","Academia","Academia, Masculino","TRUE","Title","Default Title","","","192929292","100","shopify","5","deny","manual","49.90","","TRUE","TRUE","","1","Cotoveleira","FALSE","Cotoveleira | Deroche Mantos","Compre Cotoveleira na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Esportes e ar livre > Equipamentos esportivos > Equipamentos de fitness","active"
"cropped-branco-feminino","Cropped Branco Feminino","<h2>Cropped Branco Feminino</h2>
<p>Peça streetwear cropped branco feminino, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Branco, Feminino","TRUE","Tamanho","P","","","181828282-P","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Cropped Branco Feminino","FALSE","Cropped Branco Feminino | Deroche Mantos","Compre Cropped Branco Feminino na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"cropped-branco-feminino","","","","","","","","Tamanho","M","","","181828282-M","220","shopify","3","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"cropped-branco-feminino","","","","","","","","Tamanho","G","","","181828282-G","220","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"cropped-off-white-feminino","Cropped Off White Feminino","<h2>Cropped Off White Feminino</h2>
<p>Peça streetwear cropped off white feminino, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Off White, Feminino","TRUE","Tamanho","M","","","1828281-M","220","shopify","3","deny","manual","129.90","","TRUE","TRUE","","1","Cropped Off White Feminino","FALSE","Cropped Off White Feminino | Deroche Mantos","Compre Cropped Off White Feminino na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"cropped-off-white-feminino","","","","","","","","Tamanho","G","","","1828281-G","220","shopify","2","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"cropped-preto-feminino","Cropped Preto Feminino","<h2>Cropped Preto Feminino</h2>
<p>Peça streetwear cropped preto feminino, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Preto, Feminino","TRUE","Tamanho","G","","","28383828-G","220","shopify","3","deny","manual","129.90","","TRUE","TRUE","","1","Cropped Preto Feminino","FALSE","Cropped Preto Feminino | Deroche Mantos","Compre Cropped Preto Feminino na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"cropped-rosa-feminino","Cropped Rosa Feminino","<h2>Cropped Rosa Feminino</h2>
<p>Peça streetwear cropped rosa feminino, com caimento moderno e tecido confortável para o dia a dia urbano.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido de alta qualidade</li>
<li>Caimento moderno</li>
<li>Conforto para uso diário</li>
<li>Estilo streetwear autêntico</li>
</ul>","Deroche","Vestuário e acessórios > Roupas","Streetwear","Streetwear, Rosa, Feminino","TRUE","Tamanho","M","","","282828282822828-M","220","shopify","2","deny","manual","129.90","","TRUE","TRUE","","1","Cropped Rosa Feminino","FALSE","Cropped Rosa Feminino | Deroche Mantos","Compre Cropped Rosa Feminino na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas","active"
"cropped-rosa-feminino","","","","","","","","Tamanho","G","","","282828282822828-G","220","shopify","1","deny","manual","129.90","","TRUE","TRUE","","","","","","","",""
"cruzeiro-azul-2023","Cruzeiro Azul 2023","<h2>Cruzeiro Azul 2023</h2>
<p>Camisa inspirada no uniforme do Cruzeiro temporada 2023. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Cruzeiro, Camisa Cruzeiro, 2023, Camisas Futebol, Azul, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","28481828281-P","200","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Cruzeiro Azul 2023","FALSE","Cruzeiro Azul 2023 | Deroche Mantos","Compre Cruzeiro Azul 2023 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"cruzeiro-azul-2025","Cruzeiro Azul 2025","<h2>Cruzeiro Azul 2025</h2>
<p>Camisa inspirada no uniforme do Cruzeiro temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Cruzeiro, Camisa Cruzeiro, 2025, Camisas Futebol, Azul, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","192828282-P","200","shopify","1","deny","manual","139.90","","TRUE","TRUE","","1","Cruzeiro Azul 2025","FALSE","Cruzeiro Azul 2025 | Deroche Mantos","Compre Cruzeiro Azul 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"cruzeiro-azul-2025","","","","","","","","Tamanho","XGG","","","192828282-XGG","200","shopify","1","deny","manual","139.90","","TRUE","TRUE","","","","","","","",""
"cruzeiro-branca-2025","Cruzeiro Branca 2025","<h2>Cruzeiro Branca 2025</h2>
<p>Camisa inspirada no uniforme do Cruzeiro temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Cruzeiro, Camisa Cruzeiro, 2025, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","XGG","","","394929282-XGG","200","shopify","1","deny","manual","139.90","","TRUE","TRUE","","1","Cruzeiro Branca 2025","FALSE","Cruzeiro Branca 2025 | Deroche Mantos","Compre Cruzeiro Branca 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"flamengo-rubro-negra-i-2026","Flamengo Rubro Negra I 2026","<h2>Flamengo Rubro Negra I 2026</h2>
<p>Camisa inspirada no uniforme do Flamengo temporada 2026. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Flamengo, Camisa Flamengo, 2026, Camisas Futebol, Rubro Negra, Masculino, Futebol, Brasileirão","TRUE","Tamanho","XGG","","","2938282821-XGG","200","shopify","1","deny","manual","180.00","","TRUE","TRUE","","1","Flamengo Rubro Negra I 2026","FALSE","Flamengo Rubro Negra I 2026 | Deroche Mantos","Compre Flamengo Rubro Negra I 2026 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"fluminense-branca-2025","Fluminense Branca 2025","<h2>Fluminense Branca 2025</h2>
<p>Camisa inspirada no uniforme do Fluminense temporada 2025. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Fluminense, Camisa Fluminense, 2025, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","2838283828228-P","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","1","Fluminense Branca 2025","FALSE","Fluminense Branca 2025 | Deroche Mantos","Compre Fluminense Branca 2025 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"fluminense-branca-2025","","","","","","","","Tamanho","G","","","2838283828228-G","200","shopify","1","deny","manual","149.90","","TRUE","TRUE","","","","","","","",""
